,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2023-03-31,2023-05-11,4.76,3.51,1.25,35.6125
1,2022-12-31,2023-03-09,4.81,3.48,1.33,38.2184
2,2022-09-30,2022-11-18,6.27,4.45,1.82,40.8989
3,2022-06-30,2022-08-23,4.06,2.71,1.35,49.8155
4,2022-03-31,2022-05-17,2.53,1.63,0.9,55.2147
5,2021-12-31,2022-03-09,2.21,1.54,0.67,43.5065
6,2021-09-30,2021-11-17,3.16,2.05,1.11,54.1463
7,2021-06-30,2021-08-23,2.9,2.35,0.55,23.4043
8,2021-03-31,2021-05-19,2.47,2.26,0.21,9.292
9,2020-12-31,2021-03-11,1.49,1.21,0.28,23.1405
10,2020-09-30,2020-11-16,3.42,2.65,0.77,29.0566
11,2020-06-30,2020-08-17,3.51,2.66,0.85,31.9549
12,2020-03-31,2020-05-15,1.98,0.83,1.15,138.5542
13,2019-12-31,2020-03-02,0.54,0.44,0.1,22.7273
14,2019-09-30,2019-11-14,2.08,1.21,0.87,71.9008
15,2019-06-30,2019-08-13,2.3,0.46,1.84,400
16,2019-03-31,2019-05-10,2.23,0.81,1.42,175.3086
17,2018-12-31,2019-02-28,0.51,-0.26,0.77,296.1538
18,2018-09-30,2018-11-19,0.8,0.72,0.08,11.1111
19,2018-06-30,2018-08-16,0.33,0.67,-0.34,-50.7463
20,2018-03-31,2018-05-08,0.71,0.82,-0.11,-13.4146
21,2017-12-31,2018-03-02,0.31,0.45,-0.14,-31.1111
22,2017-09-30,2017-11-13,1.52,0.68,0.84,123.5294
23,2017-06-30,2017-08-14,0.67,0.56,0.11,19.6429
24,2017-03-31,2017-05-07,1.01,0.1,0.91,910
25,2016-12-31,2017-03-02,0.39,-0.39,0.78,200
26,2016-09-30,2016-11-14,0.2,-0.39,0.59,151.2821
27,2016-06-30,2016-08-10,0.29,-0.19,0.48,252.6316
28,2016-03-31,2016-05-09,-0.15,-0.14,-0.01,-7.1429
29,2015-12-31,2016-03-01,-0.48,-0.15,-0.33,-220
30,2015-09-30,2015-11-15,0.02,0.09,-0.07,-77.7778
31,2015-06-30,2015-08-07,-0.01,-0.13,0.12,92.3077
32,2015-03-31,2015-05-07,-0.15,0.03,-0.18,-600
33,2014-12-31,2015-03-02,0.01,-0.02,0.03,150
34,2014-09-30,2014-11-16,0.04,-0.01,0.05,500
35,2014-06-30,2014-08-15,0.04,-0.02,0.06,300
36,2014-03-31,2014-05-28,-0.5633,None,None,None
